algorithm,fold,lime_logreg_intersection_count,shap_logreg_intersection_count
DecisionTree,1,6,6
DecisionTree,2,4,5
DecisionTree,3,8,6
DecisionTree,4,7,6
DecisionTree,5,6,7
LinearSVC,1,9,7
LinearSVC,2,9,8
LinearSVC,3,7,6
LinearSVC,4,7,7
LinearSVC,5,7,7
LogisticRegression,1,8,8
LogisticRegression,2,8,9
LogisticRegression,3,7,4
LogisticRegression,4,7,8
LogisticRegression,5,8,9
MLP,1,6,6
MLP,2,7,7
MLP,3,5,4
MLP,4,7,5
MLP,5,7,6
RandomForest,1,8,9
RandomForest,2,7,7
RandomForest,3,5,3
RandomForest,4,7,7
RandomForest,5,7,8
