algorithm,fold,lime_logreg_intersection_count,shap_logreg_intersection_count
DecisionTree,1,5,6
DecisionTree,2,6,5
DecisionTree,3,7,8
DecisionTree,4,4,7
DecisionTree,5,5,4
LinearSVC,1,5,7
LinearSVC,2,6,8
LinearSVC,3,5,7
LinearSVC,4,6,7
LinearSVC,5,5,6
LogisticRegression,1,5,6
LogisticRegression,2,6,8
LogisticRegression,3,5,7
LogisticRegression,4,7,8
LogisticRegression,5,6,7
MLP,1,4,5
MLP,2,5,5
MLP,3,2,5
MLP,4,4,4
MLP,5,4,3
RandomForest,1,6,5
RandomForest,2,8,8
RandomForest,3,7,8
RandomForest,4,6,8
RandomForest,5,5,5
